station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
Aotizhongxin,2.8360705596107056,2.296228710462287,3.02235401459854,3.0907846715328464,6.181569343065693,5.542883211678832,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.03801703163017032,0.0076034063260340635
Changping,2.509124087591241,1.8438260340632604,1.8552311435523117,2.0719282238442824,5.215936739659368,1.8666362530413625,0.12545620437956204,0.12545620437956204,0.12545620437956204,0.12925790754257907,0.28132603406326034,0.12165450121654502
Dingling,1.8856447688564477,1.8628345498783456,2.018704379562044,3.9955900243309,6.7100060827250605,2.866484184914842,0.12545620437956204,0.12545620437956204,0.12545620437956204,0.12925790754257907,0.28132603406326034,0.12165450121654502
Dongsi,1.4104318734793186,0.9124087591240875,1.3191909975669098,4.831964720194647,10.831052311435522,1.2431569343065694,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.02661192214111922,0.0076034063260340635
Guanyuan,1.6195255474452557,1.1024939172749393,1.4256386861313868,2.125152068126521,5.828010948905109,4.041210462287104,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.03801703163017032,0.0076034063260340635
Gucheng,1.8666362530413625,1.0568734793187347,1.5739051094890513,2.0072992700729926,4.850973236009732,2.406478102189781,0.12925790754257907,0.12545620437956204,0.12925790754257907,0.09884428223844283,0.45240267639902676,0.11785279805352798
Huairou,3.0983880778588806,2.4559002433090025,3.1858272506082725,4.923205596107056,4.58485401459854,3.721867396593674,0.12545620437956204,0.1330596107055961,0.1330596107055961,0.13686131386861314,0.5398418491484185,0.14066301703163017
Nongzhanguan,1.8476277372262775,1.2545620437956204,1.2849756690997567,1.9730839416058392,3.680048661800486,1.4788625304136251,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.02661192214111922,0.0076034063260340635
Shunyi,2.2315997566909975,1.0530717761557178,3.3112834549878345,3.5317822384428226,6.668187347931874,2.193582725060827,0.12545620437956204,0.12545620437956204,0.13686131386861314,0.12545620437956204,0.7565389294403894,0.12545620437956204
Tiantan,2.0491180048661803,1.817214111922141,3.8625304136253042,2.425486618004866,3.8131082725060828,2.760036496350365,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.02661192214111922,0.0076034063260340635
Wanliu,1.0302615571776155,0.726125304136253,1.817214111922141,3.5583941605839415,6.440085158150851,7.143400243309002,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.0076034063260340635,0.06843065693430657,0.0076034063260340635
Wanshouxigong,1.840024330900243,1.1633211678832116,1.8856447688564477,2.185979318734793,4.0298053527980535,3.425334549878346,0.0038017031630170318,0.0038017031630170318,0.0038017031630170318,0.0038017031630170318,0.030413625304136254,0.0038017031630170318
